Meaning,CAT,QUERY_PARAM,APP_PARAM,DTYPE,VAR,VALUE,LABEL
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,24,African Methodist Episcopal Zion Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,27,Assemblies of God Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,28,Brethren Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,30,Roman Catholic
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,33,Wisconsin Evangelical Lutheran Synod
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,34,Christ and Missionary Alliance Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,35,Christian Reformed Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,36,Evangelical Congregational Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,37,Evangelical Covenant Church of America
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,38,Evangelical Free Church of America
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,39,Evangelical Lutheran Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,40,International United Pentecostal Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,41,Free Will Baptist Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,42,Interdenominational
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,43,Mennonite Brethren Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,44,Moravian Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,45,North American Baptist
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,47,Pentecostal Holiness Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,48,Christian Churches and Churches of Christ
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,49,Reformed Church in America
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,50,"Episcopal Church, Reformed"
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,51,African Methodist Episcopal
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,52,American Baptist
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,53,American Lutheran
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,54,Baptist
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,55,Christian Methodist Episcopal
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,57,Church of God
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,58,Church of Brethren
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,59,Church of the Nazarene
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,60,Cumberland Presbyterian
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,61,Christian Church (Disciples of Christ)
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,64,Free Methodist
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,65,Friends
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,66,Presbyterian Church (USA)
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,67,Lutheran Church in America
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,68,Lutheran Church - Missouri Synod
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,69,Mennonite Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,71,United Methodist
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,73,Protestant Episcopal
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,74,Churches of Christ
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,75,Southern Baptist
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,76,United Church of Christ
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,77,"Protestant, not specified"
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,78,Multiple Protestant Denomination
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,79,Other Protestant
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,80,Jewish
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,81,Reformed Presbyterian Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,84,United Brethren Church
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,87,Missionary Church Inc
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,88,Undenominational
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,89,Wesleyan
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,91,Greek Orthodox
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,92,Russian Orthodox
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,93,Unitarian Universalist
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,94,Latter Day Saints (Mormon Church)
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,95,Seventh Day Adventists
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,97,The Presbyterian Church in America
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,99,Other (none of the above)
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,100,Original Free Will Baptist
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,101,Ecumenical Christian
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,102,Evangelical Christian
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,103,Presbyterian
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,105,General Baptist
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,106,Muslim
Religiously affilitated,,school.religious_affiliation,,,RELAFFIL,107,Plymouth Brethren
Admission Rate Range,admissions,admissions.admission_rate.overall,admission,float,ADM_RATE,,
Average SAT Score of admitted students/ What's your SAT score?,admissions,admissions.sat_scores.average.overall,sat,float,SAT_AVG,,
ALWAYS QUERY THIS AS == 1,school,school.operating,,integer,CURROPER,0,Not currently certified as an operating institution
Average net price for Title IV institutions (public institutions),cost,cost.avg_net_price.public,cost_pub,integer,NPT4_PUB,,
Average net price for Title IV institutions (private for-profit and nonprofit institutions),cost,cost.avg_net_price.private,cost_priv,integer,NPT4_PRIV,,
